
Created CAN interfafce connector

Connected to InfluxDB

Exiting
         6998656 function calls (6985722 primitive calls) in 42.873 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16315    0.047    0.000    0.114    0.000 feedparser.py:128(__next__)
    21755    0.047    0.000    0.553    0.000 {method 'join' of 'bytes' objects}
    19934    0.047    0.000    0.072    0.000 utils.py:51(_has_surrogates)
     1813    0.046    0.000    4.142    0.002 utils.py:694(should_bypass_proxies)
     1836    0.046    0.000    0.112    0.000 message.py:85(__init__)
     1813    0.046    0.000    0.094    0.000 feedparser.py:139(__init__)
38779/38707    0.045    0.000    0.051    0.000 {method 'join' of 'str' objects}
     3077    0.045    0.000    0.045    0.000 {built-in method posix.stat}
     1813    0.044    0.000    0.263    0.000 parse.py:868(urlencode)
    14504    0.044    0.000    0.064    0.000 _collections_abc.py:676(items)
     5437    0.043    0.000    0.267    0.000 cookies.py:37(__init__)
     1813    0.042    0.000    1.355    0.001 parser.py:60(parsestr)
     1813    0.042    0.000    0.592    0.000 client.py:1017(_send_output)
     1812    0.042    0.000    0.148    0.000 _collections.py:225(extend)
     1813    0.042    0.000    8.141    0.004 sessions.py:690(merge_environment_settings)
     5440    0.041    0.000    0.060    0.000 timeout.py:93(__init__)
     1813    0.041    0.000   23.062    0.013 client.py:1292(getresponse)
     3626    0.041    0.000    0.041    0.000 {method 'readlines' of '_io._IOBase' objects}
     3626    0.041    0.000    0.201    0.000 cookies.py:508(cookiejar_from_dict)
     1836    0.041    0.000    0.041    0.000 {built-in method fcntl.ioctl}
     1812    0.040    0.000    0.107    0.000 client.py:478(readinto)
     9065    0.040    0.000    0.050    0.000 structures.py:57(__iter__)
     3624    0.040    0.000    0.470    0.000 cookies.py:118(extract_cookies_to_jar)
    10872    0.040    0.000    0.075    0.000 _collections.py:209(add)
    23576    0.040    0.000    0.040    0.000 {method 'find' of 'str' objects}
    14504    0.039    0.000    0.067    0.000 client.py:1248(<genexpr>)
     9065    0.039    0.000    0.185    0.000 parse.py:782(quote)
     3626    0.038    0.000    0.067    0.000 url.py:22(__new__)
     7250    0.038    0.000    0.055    0.000 message.py:29(_splitparam)
     9065    0.037    0.000    0.095    0.000 utils.py:927(check_header_validity)
     1813    0.037    0.000    0.126    0.000 cookiejar.py:1344(add_cookie_header)
    18122    0.036    0.000    0.185    0.000 _policybase.py:311(header_fetch_parse)
    16317    0.036    0.000    0.050    0.000 client.py:996(_output)
    12712    0.036    0.000    0.036    0.000 {built-in method time.time}
     1823    0.036    0.000    0.100    0.000 queue.py:121(put)
     1813    0.036    0.000    0.099    0.000 feedparser.py:101(push)
     1813    0.036    0.000    1.779    0.001 models.py:307(prepare)
     3637    0.035    0.000    0.055    0.000 threading.py:335(notify)
     5439    0.035    0.000    0.062    0.000 utils.py:107(super_len)
     1812    0.035    0.000    0.145    0.000 client.py:446(read)
      955    0.035    0.000    0.135    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
     5439    0.035    0.000    0.035    0.000 cookiejar.py:870(__init__)
     3626    0.034    0.000    0.042    0.000 contextlib.py:81(__init__)
     3626    0.034    0.000    0.054    0.000 url.py:99(split_first)
     7261    0.034    0.000    0.097    0.000 _collections_abc.py:664(__contains__)
     1813    0.034    0.000    0.101    0.000 queue.py:153(get)
    41693    0.033    0.000    0.033    0.000 parse.py:98(_noop)
     1812    0.033    0.000    0.196    0.000 _collections.py:136(__init__)
     9084    0.032    0.000    0.117    0.000 {built-in method builtins.sorted}
     1813    0.032    0.000    0.082    0.000 auth.py:28(_basic_auth_str)
     1836    0.032    0.000    0.444    0.000 bus.py:64(recv)
     1813    0.032    0.000    0.114    0.000 models.py:452(prepare_body)
     1813    0.032    0.000   20.856    0.012 socket.py:575(readinto)
     3626    0.032    0.000    0.068    0.000 parse.py:480(urlunsplit)
     1813    0.031    0.000    1.313    0.001 parser.py:42(parse)
     1813    0.031    0.000    0.031    0.000 feedparser.py:53(__init__)
     1836    0.030    0.000    0.030    0.000 {method 'recv' of '_socket.socket' objects}
     1836    0.030    0.000    0.389    0.000 socketcan.py:608(_recv_internal)
    19/18    0.030    0.002    0.034    0.002 {built-in method _imp.create_dynamic}
     1813    0.029    0.000    0.722    0.000 adapters.py:292(get_connection)
